birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,playerId,positionCode,shootsCatches,skaterFullName,weight
Zug,CHE,1997-06-27,,,,185.0,7.0,2016.0,20192020,74.0,N,Thurkauf,CHE,8479557,C,L,Calvin Thurkauf,204.0
Woodbury,USA,1997-05-24,MN,,,,,,20192020,71.0,N,Menell,USA,8479734,D,R,Brennan Menell,183.0
Las Vegas,USA,1995-07-29,NV,,,,,,20192020,72.0,N,Quinney,USA,8479748,C,L,Gage Quinney,206.0
Ljunby,SWE,1991-10-07,,,,,,,20172018,72.0,N,Fantenberg,SWE,8480147,D,L,Oscar Fantenberg,206.0
Tyreso,SWE,1997-03-12,,,,170.0,6.0,2017.0,20192020,71.0,N,Davidsson,SWE,8480247,R,R,Jonathan Davidsson,185.0
Ottawa,CAN,1995-12-12,ON,,,,,,20182019,73.0,N,Veronneau,CAN,8480314,R,R,Max Veronneau,193.0
Grand Rapids,USA,1994-06-22,MN,,,,,,20182019,72.0,N,Johnson,USA,8480341,C,L,Adam Johnson,174.0
Caslav,CZE,1990-08-05,,,,,,,20182019,76.0,N,Radil,CZE,8480780,C,R,Lukas Radil,205.0
Osby,SWE,1994-03-04,,,,,,,20192020,71.0,N,Persson,SWE,8480940,D,R,Joel Persson,170.0
Belovo,RUS,1997-07-01,,,,,,,20192020,71.0,N,Yurtaykin,RUS,8481515,L,R,Danil Yurtaykin,165.0
Yaroslavl,RUS,1996-02-07,,,,,,,20192020,72.0,N,Yelesin,RUS,8481630,D,R,Alexander Yelesin,195.0
Sundsvall,SWE,1993-03-01,,,,,,,20192020,71.0,N,Wedin,SWE,8481637,L,L,Anton Wedin,195.0
Prokopyevsk,RUS,1993-02-26,,,,,,,20192020,76.0,N,Chibisov,RUS,8481642,R,L,Andrei Chibisov,227.0
Malmo,SWE,1993-07-23,,,,,,,20192020,73.0,N,Lilja,SWE,8481650,L,L,Jakob Lilja,196.0
Virginia,USA,1976-11-02,MN,,,35.0,2.0,1996.0,19971998,73.0,N,Cullen,USA,8464989,C,L,Matt Cullen,202.0
Sudbury,CAN,1981-06-11,ON,,,128.0,5.0,1999.0,20012002,71.0,N,MacKenzie,CAN,8468001,C,L,Derek MacKenzie,177.0
San Francisco,USA,1980-09-26,CA,,,18.0,1.0,2000.0,20022003,75.0,N,Orpik,USA,8468498,D,L,Brooks Orpik,217.0
Stockholm,SWE,1981-01-12,,,,29.0,1.0,2000.0,20032004,72.0,N,Kronwall,SWE,8468509,D,L,Niklas Kronwall,194.0
Blaine,USA,1981-06-17,MN,,,131.0,5.0,2000.0,20082009,72.0,N,Hendricks,USA,8468611,C,L,Matt Hendricks,211.0
Sault Ste. Marie,CAN,1983-06-03,ON,,,50.0,2.0,2001.0,20052006,75.0,N,Thorburn,CAN,8469501,R,R,Chris Thorburn,235.0
Repentigny,CAN,1982-11-30,QC,,,55.0,2.0,2001.0,20032004,71.0,N,Pominville,CAN,8469506,R,R,Jason Pominville,180.0
Kladno,CZE,1982-10-31,,,,71.0,3.0,2001.0,20032004,71.0,N,Plekanec,CZE,8469521,C,L,Tomas Plekanec,190.0
Regina,CAN,1979-09-26,SK,,,,,,20032004,72.0,N,Kunitz,CAN,8470543,L,L,Chris Kunitz,188.0
Vienna,AUT,1984-01-19,,,,5.0,1.0,2003.0,20052006,74.0,N,Vanek,AUT,8470598,L,R,Thomas Vanek,214.0
Edmonton,CAN,1985-04-10,AB,,,9.0,1.0,2003.0,20052006,76.0,N,Phaneuf,CAN,8470602,D,L,Dion Phaneuf,222.0
Winkler,CAN,1985-09-07,MB,,,18.0,1.0,2003.0,20052006,76.0,N,Fehr,CAN,8470611,C,R,Eric Fehr,209.0
Livonia,USA,1984-08-31,MI,,,23.0,1.0,2003.0,20032004,74.0,N,Kesler,USA,8470616,C,R,Ryan Kesler,206.0
Calgary,CAN,1984-05-01,AB,,,29.0,1.0,2003.0,20052006,71.0,N,Eaves,USA,8470622,R,R,Patrick Eaves,203.0
West Seneca,USA,1983-02-04,NY,,,148.0,5.0,2003.0,20052006,71.0,N,Stempniak,USA,8470740,R,R,Lee Stempniak,195.0
Ottawa,CAN,1985-06-21,ON,,,168.0,6.0,2003.0,20062007,76.0,N,Methot,CAN,8470760,D,L,Marc Methot,230.0
St. Paul,CAN,1984-05-25,AB,,,214.0,7.0,2003.0,20052006,74.0,N,Brodziak,CAN,8470803,C,R,Kyle Brodziak,205.0
Roseau,USA,1985-03-27,MN,,,245.0,8.0,2003.0,20052006,77.0,N,Byfuglien,USA,8470834,D,R,Dustin Byfuglien,260.0
Milwaukee,USA,1985-10-30,WI,,,13.0,1.0,2004.0,20062007,74.0,N,Stafford,USA,8471226,R,R,Drew Stafford,215.0
Anchorage,USA,1986-04-29,AK,,,60.0,2.0,2004.0,20062007,74.0,N,Dubinsky,USA,8471273,C,L,Brandon Dubinsky,208.0
Rochester,USA,1985-03-21,NY,,,127.0,4.0,2004.0,20062007,70.0,N,Callahan,USA,8471339,R,R,Ryan Callahan,187.0
Warren,USA,1985-05-21,MI,,,224.0,7.0,2004.0,20072008,71.0,N,Hunwick,USA,8471436,D,L,Matt Hunwick,194.0
Prince Albert,CAN,1985-07-15,SK,,,279.0,9.0,2004.0,20102011,75.0,N,Cracknell,CAN,8471490,R,R,Adam Cracknell,209.0
Binscarth,CAN,1984-06-26,MB,,,,,,20072008,74.0,N,McLeod,CAN,8471657,L,L,Cody McLeod,204.0
Pisek,CZE,1987-02-20,,,,17.0,1.0,2005.0,20072008,78.0,N,Hanzal,CZE,8471691,C,L,Martin Hanzal,230.0
Charlottetown,CAN,1986-10-12,PE,,,55.0,2.0,2005.0,20092010,76.0,N,McQuaid,CAN,8471717,D,R,Adam McQuaid,210.0
St. Louis,USA,1986-10-27,MO,,,96.0,4.0,2005.0,20082009,73.0,N,Butler,USA,8471761,D,L,Chris Butler,196.0
Thunder Bay,CAN,1987-02-14,ON,,,107.0,4.0,2005.0,20092010,71.0,N,Pyatt,CAN,8471768,L,L,Tom Pyatt,185.0
Welland,CAN,1984-04-29,ON,,,,,,20062007,73.0,N,Girardi,CAN,8471958,D,R,Dan Girardi,212.0
Rochester,USA,1983-10-09,NY,,,,,,20102011,67.0,N,Gionta,USA,8472410,C,R,Stephen Gionta,177.0
Fergus,CAN,1988-08-05,ON,,,36.0,2.0,2006.0,20082009,73.0,N,McGinn,CAN,8473465,L,L,Jamie McGinn,205.0
Saskatoon,CAN,1988-04-14,SK,,,68.0,3.0,2006.0,20122013,76.0,N,Gryba,CAN,8473468,D,R,Eric Gryba,222.0
Windsor,CAN,1988-06-07,ON,,,112.0,4.0,2006.0,20082009,72.0,N,Beleskey,CAN,8473492,L,L,Matt Beleskey,207.0
Västerås,SWE,1988-06-02,,,,25.0,1.0,2006.0,20082009,76.0,N,Berglund,SWE,8473534,C,L,Patrik Berglund,215.0
Judique,CAN,1986-09-07,NS,,,160.0,6.0,2006.0,20082009,73.0,N,MacDonald,CAN,8473584,D,L,Andrew MacDonald,204.0
Trenton,USA,1986-08-06,MI,,,211.0,7.0,2006.0,20102011,71.0,N,Condra,USA,8473588,R,R,Erik Condra,185.0
Edmonton,CAN,1987-05-07,AB,,,,,,20082009,73.0,N,Schlemko,CAN,8473673,D,L,David Schlemko,191.0
Concord,USA,1984-02-20,NH,,,,,,20082009,73.0,N,Lovejoy,USA,8473933,D,R,Ben Lovejoy,205.0
Snowflake,CAN,1988-10-11,MB,,,110.0,4.0,2007.0,20092010,77.0,N,Falk,CAN,8473992,D,L,Justin Falk,223.0
Philadelphia,USA,1989-02-10,PA,,,42.0,2.0,2007.0,20092010,76.0,N,Tangradi,USA,8474025,L,L,Eric Tangradi,226.0
North York,CAN,1989-04-18,ON,,,160.0,6.0,2007.0,20122013,75.0,N,Peluso,CAN,8474061,R,R,Anthony Peluso,225.0
Kramfors,SWE,1988-09-19,,,,122.0,5.0,2007.0,20172018,72.0,N,Kempe,SWE,8474131,R,L,Mario Kempe,185.0
White Rock,CAN,1984-11-13,BC,,,,,,20082009,73.0,N,Garrison,CAN,8474520,D,L,Jason Garrison,218.0
Helsinki,FIN,1987-12-23,,,,65.0,3.0,2008.0,20142015,74.0,N,Lehtera,FIN,8474627,C,L,Jori Lehtera,212.0
Edmond,USA,1990-05-09,OK,,,96.0,4.0,2008.0,20112012,73.0,N,Donovan,USA,8474659,D,L,Matt Donovan,205.0
Norrkoping,SWE,1991-04-12,,,,10.0,1.0,2009.0,20102011,75.0,N,Paajarvi,SWE,8475175,L,L,Magnus Paajarvi,206.0
Vancouver,CAN,1991-01-30,BC,,,49.0,2.0,2009.0,20112012,73.0,N,Elliott,CAN,8475206,D,R,Stefan Elliott,190.0
Oliver,CAN,1990-09-10,BC,,,135.0,5.0,2009.0,20132014,74.0,N,Knight,CAN,8475260,C,R,Corban Knight,195.0
Canton,USA,1990-07-22,NY,,,138.0,5.0,2009.0,20162017,73.0,N,Megan,USA,8475263,C,L,Wade Megan,191.0
Vaughan,CAN,1990-12-04,ON,,,147.0,5.0,2009.0,20132014,70.0,N,Varone,CAN,8475321,C,L,Phil Varone,193.0
Stockholm,SWE,1990-05-27,,,,149.0,5.0,2009.0,20102011,72.0,N,Kruger,SWE,8475323,C,L,Marcus Kruger,186.0
"Garden River, First Nations",CAN,1989-06-23,ON,,,186.0,7.0,2009.0,20112012,75.0,N,Nolan,CAN,8475325,C,L,Jordan Nolan,219.0
Newmarket,CAN,1990-02-09,ON,,,,,,20132014,75.0,N,Archibald,CAN,8475423,R,L,Darren Archibald,210.0
Skelleftea,SWE,1991-10-29,,,,57.0,2.0,2010.0,20142015,73.0,N,Lindberg,SWE,8475715,L,L,Oscar Lindberg,202.0
Ottawa,CAN,1992-01-30,ON,,,45.0,2.0,2010.0,20122013,71.0,N,Spooner,CAN,8475727,C,L,Ryan Spooner,191.0
Everett,USA,1992-02-25,MA,,,50.0,2.0,2010.0,20152016,72.0,N,Brickley,USA,8475736,L,L,Connor Brickley,203.0
Scarborough,CAN,1992-06-14,ON,,,42.0,2.0,2010.0,20112012,72.0,N,Smith-Pelly,CAN,8475758,R,R,Devante Smith-Pelly,223.0
Abington,USA,1988-12-11,PA,,,,,,20162017,73.0,N,Burgdoerfer,USA,8475982,D,R,Erik Burgdoerfer,207.0
Ilderton,CAN,1986-06-14,ON,,,,,,20112012,70.0,N,Read,CAN,8476177,R,R,Matt Read,188.0
Milford,USA,1993-02-20,MI,,,129.0,5.0,2011.0,20152016,71.0,N,Pietila,USA,8476370,L,L,Blake Pietila,200.0
Lansing,USA,1993-09-08,MI,,,99.0,4.0,2011.0,20132014,70.0,N,Boucher,USA,8476423,C,L,Reid Boucher,195.0
Calgary,CAN,1993-02-05,AB,,,32.0,2.0,2011.0,20132014,72.0,N,Rattie,CAN,8476427,R,R,Ty Rattie,183.0
Niagara Falls,USA,1992-10-26,NY,,,36.0,2.0,2011.0,20142015,72.0,N,Clendening,USA,8476431,D,R,Adam Clendening,194.0
Aurora,CAN,1993-03-31,ON,,,12.0,1.0,2011.0,20122013,71.0,N,Murphy,CAN,8476465,D,R,Ryan Murphy,175.0
Edmonton,CAN,1992-12-09,AB,,,23.0,1.0,2011.0,20142015,72.0,N,Morrow,CAN,8476476,D,L,Joe Morrow,196.0
Windsor,CAN,1993-01-24,ON,,,24.0,1.0,2011.0,20142015,73.0,N,Puempel,CAN,8476477,L,L,Matt Puempel,201.0
Mlada Boleslav,CZE,1993-03-23,,,,171.0,6.0,2012.0,20172018,71.0,N,Hyka,CZE,8476617,R,R,Tomas Hyka,160.0
Carmel,USA,1988-10-07,IN,,,,,,20122013,75.0,N,Schilling,USA,8476799,D,L,Cameron Schilling,190.0
Burnsville,USA,1990-07-02,MN,,,,,,20112012,70.0,N,Brown,USA,8476806,R,R,JT Brown,182.0
Madison,USA,1993-10-08,WI,,,25.0,1.0,2012.0,20162017,74.0,N,Schmaltz,USA,8476877,D,R,Jordan Schmaltz,196.0
Greenfield Park,CAN,1993-05-20,QC,,,97.0,4.0,2012.0,20172018,69.0,N,Roy,CAN,8476971,C,L,Kevin Roy,172.0
Cambridge,CAN,1994-03-24,ON,,,161.0,6.0,2012.0,20162017,75.0,N,Dotchin,CAN,8477009,D,R,Jake Dotchin,210.0
Edmonton,CAN,1994-01-26,AB,,,72.0,3.0,2013.0,20172018,71.0,N,Goulbourne,CAN,8477399,L,L,Tyrell Goulbourne,203.0
Zurich,CHE,1993-03-21,,,,86.0,3.0,2013.0,20142015,70.0,N,Andrighetto,CHE,8477413,R,L,Sven Andrighetto,188.0
Anaheim,USA,1995-08-05,CA,,,31.0,2.0,2013.0,20162017,75.0,N,McCoshen,USA,8477452,D,L,Ian McCoshen,218.0
Torrance,USA,1994-10-07,CA,,,19.0,1.0,2013.0,20142015,73.0,N,Rychel,USA,8477510,L,L,Kerby Rychel,213.0
Bloomfield Hills,USA,1991-03-08,MI,,,,,,20182019,74.0,N,Chelios,USA,8477865,D,L,Jake Chelios,185.0
Jyväskylä,FIN,1995-12-03,,,,14.0,1.0,2014.0,20162017,71.0,N,Honka,FIN,8477945,D,R,Julius Honka,180.0
Moscow,RUS,1995-12-30,,,,26.0,1.0,2014.0,20162017,74.0,N,Scherbak,RUS,8477957,R,L,Nikita Scherbak,192.0
Toronto,CAN,1996-01-22,ON,,,28.0,1.0,2014.0,20162017,71.0,N,Ho-Sang,CAN,8477959,R,R,Joshua Ho-Sang,190.0
Pointe-Claire,CAN,1996-02-25,QC,,,63.0,3.0,2014.0,20172018,74.0,N,Turgeon,CAN,8477994,C,L,Dominic Turgeon,203.0
Saskatoon,CAN,1996-05-27,SK,,,101.0,4.0,2014.0,20162017,74.0,N,Nogier,CAN,8478031,D,R,Nelson Nogier,191.0
Calgary,CAN,1994-02-14,AB,,,,,,20172018,74.0,N,Rodewald,CAN,8478268,R,R,Jack Rodewald,189.0
Drummondville,CAN,1994-12-12,QC,,,,,,20172018,69.0,N,Martel,CAN,8478365,L,L,Danick Martel,184.0
Stockholm,SWE,1996-10-31,,,,45.0,2.0,2015.0,20162017,73.0,N,Forsbacka Karlsson,SWE,8478417,C,R,Jakob Forsbacka Karlsson,184.0
Helsinki,FIN,1993-03-26,,,,,,,20152016,73.0,N,Hannikainen,FIN,8478541,L,L,Markus Hannikainen,200.0
Bærum,NOR,1990-06-13,,,,,,,20152016,74.0,N,Martinsen,NOR,8478561,L,L,Andreas Martinsen,225.0
Grande Prairie,CAN,1991-08-20,AB,,,,,,20172018,71.0,N,Fritz,CAN,8479206,C,R,Tanner Fritz,191.0
Geneva,USA,1992-11-01,IL,,,,,,20162017,73.0,N,Lappin,USA,8479250,R,R,Nick Lappin,175.0
Wisconsin Rapids,USA,1992-07-18,WI,,,,,,20152016,73.0,N,Nelson,USA,8479268,D,R,Casey Nelson,185.0
Kauniainen,FIN,1993-04-14,,,,,,,20162017,71.0,N,Kossila,FIN,8479290,C,L,Kalle Kossila,182.0
Ortonville,USA,1998-03-25,MI,,,,,,20182019,73.0,N,Gleason,USA,8479416,D,L,Benjamin Gleason,190.0
Blainville,CAN,1997-02-25,QC,,,,,,20182019,72.0,N,Fortin,CAN,8479657,L,L,Alexandre Fortin,184.0
Staten Island,USA,1993-12-01,NY,,,,,,20182019,70.0,N,Gambardella,USA,8479970,C,L,Joseph Gambardella,200.0
Lakeville,USA,1993-11-30,MN,,,,,,20172018,70.0,N,Kloos,USA,8480082,C,R,Justin Kloos,175.0
Pilsen,CZE,1991-05-12,,,,,,,20172018,71.0,N,Jerabek,CZE,8480143,D,L,Jakub Jerabek,199.0
Pelhrimov,CZE,1994-03-04,,,,,,,20182019,74.0,N,Sulak,CZE,8480161,D,L,Libor Sulak,207.0
Sandy,USA,1995-03-30,UT,,,,,,20172018,75.0,N,Brickley,USA,8480771,D,L,Daniel Brickley,203.0
Krasnogorsk,RUS,1992-10-13,,,,,,,20182019,74.0,N,Ozhiganov,RUS,8480943,D,R,Igor Ozhiganov,210.0
Magnitogorsk,RUS,1991-09-17,,,,,,,20182019,72.0,N,Yakovlev,RUS,8480948,D,L,Egor Yakovlev,190.0
Morrum,SWE,1993-10-12,,,,,,,20182019,70.0,N,Nilsson,SWE,8480954,C,L,Jacob Nilsson,180.0
Cherepovets,RUS,1990-02-14,,,,,,,20182019,72.0,N,Kiselevich,RUS,8480955,D,L,Bogdan Kiselevich,202.0
Calgary,CAN,1995-02-18,AB,,,,,,20182019,72.0,N,Teves,CAN,8481425,D,L,Josh Teves,170.0
Ottawa,CAN,1996-06-12,ON,,,,,,20182019,73.0,N,Kuffner,CAN,8481426,L,L,Ryan Kuffner,186.0
Kladno,CZE,1972-02-15,,,,5.0,1.0,1990.0,19901991,75.0,N,Jagr,CZE,8448208,R,L,Jaromir Jagr,230.0
Edmonton,CAN,1979-05-02,AB,,,121.0,5.0,1997.0,20002001,75.0,N,Chimera,CAN,8466251,L,L,Jason Chimera,215.0
Peterborough,CAN,1980-06-05,ON,,,44.0,2.0,1998.0,19992000,73.0,N,Fisher,CAN,8467370,C,R,Mike Fisher,216.0
Sorel,CAN,1980-06-04,QC,,,75.0,3.0,1998.0,20022003,71.0,N,Beauchemin,CAN,8467400,D,L,Francois Beauchemin,208.0
Rochester,USA,1979-01-18,NY,,,82.0,3.0,1998.0,20012002,67.0,N,Gionta,USA,8467407,R,R,Brian Gionta,178.0
Ornskoldsvik,SWE,1980-09-26,,,,2.0,1.0,1999.0,20002001,73.0,Y,Sedin,SWE,8467875,L,L,Daniel Sedin,190.0
Ornskoldsvik,SWE,1980-09-26,,,,3.0,1.0,1999.0,20002001,74.0,Y,Sedin,SWE,8467876,C,L,Henrik Sedin,183.0
Toronto,CAN,1980-11-11,ON,,,94.0,3.0,1999.0,20032004,72.0,N,Kelly,CAN,8467967,C,L,Chris Kelly,190.0
Njurunda,SWE,1980-10-09,,,,210.0,7.0,1999.0,20022003,72.0,N,Zetterberg,SWE,8468083,C,L,Henrik Zetterberg,197.0
Mlada Boleslav,CZE,1981-06-13,,,,212.0,7.0,1999.0,20012002,73.0,N,Vrbata,CZE,8468085,R,R,Radim Vrbata,194.0
North York,CAN,1980-12-02,ON,,,,,,20062007,73.0,N,Ward,CAN,8468208,R,R,Joel Ward,225.0
Bern,CHE,1977-12-11,,,,262.0,9.0,2004.0,20052006,71.0,N,Streit,CHE,8468309,D,L,Mark Streit,186.0
Trencin,SVK,1982-02-14,,,,3.0,1.0,2000.0,20002001,73.0,N,Gaborik,SVK,8468483,R,L,Marian Gaborik,200.0
Regina,CAN,1982-04-18,SK,,,6.0,1.0,2000.0,20002001,74.0,N,Hartnell,CAN,8468486,L,L,Scott Hartnell,215.0
St. Agapit,CAN,1982-07-20,QC,,,55.0,2.0,2000.0,20032004,73.0,N,Vermette,CAN,8468535,C,L,Antoine Vermette,197.0
Minneapolis,USA,1981-03-05,MN,,,62.0,2.0,2000.0,20032004,73.0,N,Martin,USA,8468542,D,L,Paul Martin,200.0
Thornhill,CAN,1980-08-03,ON,,,95.0,3.0,2000.0,20032004,72.0,N,Moore,CAN,8468575,C,L,Dominic Moore,192.0
Pardubice,CZE,1983-08-13,,,,13.0,1.0,2001.0,20022003,72.0,N,Hemsky,CZE,8469466,R,R,Ales Hemsky,177.0
Toronto,CAN,1982-06-08,ON,,,49.0,2.0,2001.0,20022003,69.0,N,Cammalleri,CAN,8469500,L,L,Michael Cammalleri,185.0
Winnipeg,CAN,1981-12-27,MB,,,95.0,3.0,2001.0,20022003,73.0,N,Sharp,CAN,8469544,L,R,Patrick Sharp,200.0
Grimsby,CAN,1981-06-16,ON,,,151.0,5.0,2001.0,20052006,73.0,N,Bieksa,CAN,8469598,D,R,Kevin Bieksa,197.0
Schwenningen,DEU,1981-07-18,,,,172.0,6.0,2001.0,20022003,72.0,N,Seidenberg,DEU,8469619,D,L,Dennis Seidenberg,199.0
Kalajoki,FIN,1983-04-01,,,,192.0,6.0,2001.0,20052006,72.0,N,Jokinen,FIN,8469638,L,L,Jussi Jokinen,191.0
Wawota,CAN,1983-06-23,SK,,,193.0,6.0,2001.0,20032004,74.0,N,Laich,CAN,8469639,C,L,Brooks Laich,200.0
Stockholm,SWE,1981-10-01,,,,221.0,7.0,2001.0,20062007,72.0,N,Oduya,SWE,8469665,D,L,Johnny Oduya,191.0
Brampton,CAN,1984-06-16,ON,,,1.0,1.0,2002.0,20022003,76.0,N,Nash,CAN,8470041,L,L,Rick Nash,211.0
Fort McMurray,CAN,1983-10-07,AB,,,6.0,1.0,2002.0,20022003,72.0,N,Upshall,CAN,8470105,R,L,Scottie Upshall,200.0
Mississauga,CAN,1983-12-19,ON,,,57.0,2.0,2002.0,20022003,73.0,N,Stajan,CAN,8470162,C,L,Matt Stajan,195.0
Kelowna,CAN,1984-08-14,BC,,,,,,20052006,73.0,N,Gorges,CAN,8470324,D,L,Josh Gorges,204.0
Pincourt,CAN,1981-04-11,QC,,,,,,20052006,73.0,N,Burrows,CAN,8470358,R,L,Alexandre Burrows,197.0
Quebec City,CAN,1985-03-31,QC,,,16.0,1.0,2003.0,20052006,75.0,N,Bernier,CAN,8470609,R,R,Steve Bernier,225.0
Kitchener,CAN,1985-08-12,ON,,,132.0,4.0,2003.0,20052006,74.0,N,Quincey,CAN,8470724,D,L,Kyle Quincey,210.0
Nordingra,SWE,1984-11-05,,,,239.0,8.0,2003.0,20072008,70.0,N,Enstrom,SWE,8470828,D,L,Toby Enstrom,180.0
North York,CAN,1983-11-01,ON,,,263.0,9.0,2003.0,20072008,73.0,N,Moulson,CAN,8470852,L,L,Matt Moulson,203.0
Regina,CAN,1983-11-29,SK,,,265.0,9.0,2003.0,20072008,73.0,N,Glass,CAN,8470854,L,L,Tanner Glass,213.0
Detroit,USA,1984-11-24,MI,,,53.0,2.0,2004.0,20062007,72.0,N,Booth,USA,8471266,L,L,David Booth,212.0
Togliatti,RUS,1986-04-25,,,,84.0,3.0,2004.0,20112012,74.0,N,Emelin,RUS,8471296,D,L,Alexei Emelin,218.0
Greenfield Park,CAN,1985-01-30,QC,,,126.0,4.0,2004.0,20072008,71.0,N,Mitchell,CAN,8471338,C,R,Torrey Mitchell,186.0
Lethbridge,CAN,1986-05-13,AB,,,134.0,5.0,2004.0,20072008,71.0,N,Versteeg,CAN,8471346,R,R,Kris Versteeg,176.0
Toronto,CAN,1985-03-06,ON,,,265.0,9.0,2004.0,20072008,74.0,N,Winnik,CAN,8471476,L,L,Daniel Winnik,210.0
Rodovre,DNK,1986-03-15,,,,287.0,9.0,2004.0,20072008,73.0,N,Hansen,DNK,8471498,R,R,Jannik Hansen,198.0
Toronto,CAN,1986-12-15,ON,,,43.0,2.0,2005.0,20062007,76.0,N,Blunden,CAN,8471663,R,R,Mike Blunden,217.0
Alfred,CAN,1986-09-29,ON,,,4.0,1.0,2005.0,20062007,75.0,N,Pouliot,CAN,8471678,L,L,Benoit Pouliot,200.0
Thunder Bay,CAN,1987-04-27,ON,,,36.0,2.0,2005.0,20082009,72.0,N,Chorney,CAN,8471710,D,L,Taylor Chorney,193.0
Sicamous,CAN,1987-08-08,BC,,,79.0,3.0,2005.0,20092010,77.0,N,Franson,CAN,8471742,D,R,Cody Franson,224.0
Charlotte,USA,1986-05-13,NC,,,101.0,4.0,2005.0,20072008,75.0,N,Boll,USA,8471766,R,R,Jared Boll,206.0
Toronto,CAN,1986-09-30,ON,,,150.0,5.0,2005.0,20082009,72.0,N,O'Reilly,CAN,8471811,C,L,Cal O'Reilly,188.0
Laurier-Station,CAN,1986-09-14,QC,,,,,,20092010,67.0,N,Desharnais,CAN,8471976,C,L,David Desharnais,180.0
Kindersley,CAN,1986-12-20,SK,,,189.0,7.0,2006.0,20082009,72.0,N,Dorsett,CAN,8473432,R,R,Derek Dorsett,192.0
Boston,USA,1988-04-28,MA,,,210.0,7.0,2006.0,20172018,73.0,N,O'Neill,USA,8473440,D,L,Will O'Neill,190.0
Mississauga,CAN,1988-02-19,ON,,,47.0,2.0,2006.0,20072008,76.0,N,Matthias,CAN,8473574,L,L,Shawn Matthias,231.0
Magnitogorsk,RUS,1986-07-14,,,,44.0,2.0,2006.0,20082009,73.0,N,Kulemin,RUS,8473579,L,L,Nikolay Kulemin,228.0
Toronto,CAN,1989-02-20,ON,,,164.0,6.0,2007.0,20162017,71.0,N,DiDomenico,CAN,8474018,L,R,Christopher DiDomenico,174.0
Maplewood,USA,1989-01-29,MN,,,29.0,1.0,2007.0,20102011,75.0,N,O'Brien,USA,8474024,C,R,Jim O'Brien,195.0
Red Deer,CAN,1989-02-22,AB,,,205.0,7.0,2007.0,20102011,75.0,N,Postma,CAN,8474074,D,R,Paul Postma,195.0
Dorchester,USA,1989-11-21,MA,,,60.0,2.0,2008.0,20112012,77.0,N,Hayes,USA,8474625,R,R,Jimmy Hayes,215.0
Provost,CAN,1990-03-25,AB,,,78.0,3.0,2008.0,20102011,74.0,N,Bouma,CAN,8474642,L,L,Lance Bouma,208.0
Marshfield,USA,1990-05-30,MA,,,95.0,4.0,2008.0,20132014,69.0,N,Warsofsky,USA,8474660,D,L,David Warsofsky,174.0
Evanston,USA,1988-04-12,IL,,,177.0,6.0,2008.0,20102011,72.0,N,Wingels,USA,8474739,C,R,Tommy Wingels,200.0
Traverse City,USA,1988-07-26,MI,,,184.0,7.0,2008.0,20122013,74.0,N,Redmond,USA,8474743,D,R,Zach Redmond,212.0
Lakeville,USA,1990-09-29,MN,,,22.0,1.0,2009.0,20122013,69.0,N,Schroeder,USA,8475147,C,R,Jordan Schroeder,170.0
Trail,CAN,1991-08-08,BC,,,32.0,2.0,2009.0,20132014,72.0,N,Ferraro,CAN,8475157,C,R,Landon Ferraro,173.0
Toronto,CAN,1991-01-14,ON,,,15.0,1.0,2009.0,20112012,74.0,N,Holland,CAN,8475180,C,L,Peter Holland,193.0
Stockholm,SWE,1991-03-02,,,,20.0,1.0,2009.0,20102011,72.0,N,Josefson,SWE,8475185,C,L,Jacob Josefson,196.0
Golden,CAN,1991-02-22,BC,,,159.0,6.0,2009.0,20142015,74.0,N,McKenzie,CAN,8475310,L,L,Curtis McKenzie,205.0
Ottawa,CAN,1991-06-06,ON,,,206.0,7.0,2009.0,20172018,71.0,N,Sexton,CAN,8475328,C,R,Ben Sexton,196.0
Toronto,CAN,1989-02-16,ON,,,,,,20162017,70.0,N,Liambas,CAN,8475436,L,L,Mike Liambas,195.0
Shawinigan,CAN,1992-05-31,QC,,,71.0,3.0,2010.0,20132014,71.0,N,Bournival,CAN,8475739,L,L,Michael Bournival,198.0
Gardena,USA,1991-11-27,CA,,,20.0,1.0,2010.0,20122013,74.0,N,Bennett,USA,8475761,R,R,Beau Bennett,195.0
Kazan,RUS,1991-10-21,,,,8.0,1.0,2010.0,20102011,73.0,N,Burmistrov,RUS,8475788,C,L,Alexander Burmistrov,180.0
Toronto,CAN,1992-01-01,ON,,,129.0,5.0,2010.0,20132014,73.0,N,Hamilton,CAN,8475878,C,R,Freddie Hamilton,195.0
Cadca,SVK,1991-08-28,,,,,,,20152016,74.0,N,Hrivik,SVK,8475949,L,R,Marek Hrivik,197.0
Thornhill,CAN,1992-07-29,ON,,,,,,20172018,77.0,N,Crescenzi,CAN,8476020,C,L,Andrew Crescenzi,207.0
New Lenox,USA,1993-03-07,IL,,,199.0,7.0,2011.0,20172018,72.0,N,Broadhurst,USA,8476283,C,L,Alex Broadhurst,178.0
Toronto,CAN,1993-03-26,ON,,,150.0,5.0,2011.0,20122013,72.0,N,Corrado,CAN,8476302,D,R,Frank Corrado,205.0
